epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
78,17.63639159745808,"tensor(17.6364, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.0632, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1268, device='cuda:0', grad_fn=<MeanBackward0>)",22.6338472366333,19.664442099057712,"tensor(19.6644, device='cuda:0')","tensor(32.1011, device='cuda:0')","tensor(0.1255, device='cuda:0')",2.560828447341919
79,17.56886058517649,"tensor(17.5689, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9908, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1263, device='cuda:0', grad_fn=<MeanBackward0>)",22.551726579666138,19.639089868618893,"tensor(19.6391, device='cuda:0')","tensor(32.0588, device='cuda:0')","tensor(0.1275, device='cuda:0')",2.50323224067688
80,17.56970296932172,"tensor(17.5697, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9711, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1265, device='cuda:0', grad_fn=<MeanBackward0>)",22.662882804870605,19.627907771330612,"tensor(19.6279, device='cuda:0')","tensor(32.1349, device='cuda:0')","tensor(0.1282, device='cuda:0')",2.6103789806365967
81,17.529611008076728,"tensor(17.5296, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.9346, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1262, device='cuda:0', grad_fn=<MeanBackward0>)",22.28740620613098,19.582294766719524,"tensor(19.5823, device='cuda:0')","tensor(32.0222, device='cuda:0')","tensor(0.1254, device='cuda:0')",2.3273534774780273
82,17.45243563833116,"tensor(17.4524, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8339, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1256, device='cuda:0', grad_fn=<MeanBackward0>)",23.02467107772827,19.551710789020245,"tensor(19.5517, device='cuda:0')","tensor(32.0279, device='cuda:0')","tensor(0.1258, device='cuda:0')",2.460669755935669
83,17.49426806123951,"tensor(17.4943, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8750, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1259, device='cuda:0', grad_fn=<MeanBackward0>)",22.826377630233765,19.630622872939476,"tensor(19.6306, device='cuda:0')","tensor(32.0424, device='cuda:0')","tensor(0.1257, device='cuda:0')",2.6075174808502197
84,17.473474840574628,"tensor(17.4735, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8619, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1256, device='cuda:0', grad_fn=<MeanBackward0>)",22.685982704162598,19.6209478194897,"tensor(19.6209, device='cuda:0')","tensor(32.0600, device='cuda:0')","tensor(0.1246, device='cuda:0')",2.7452492713928223
85,17.474067428444005,"tensor(17.4741, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8381, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1258, device='cuda:0', grad_fn=<MeanBackward0>)",22.457210063934326,19.7741641998291,"tensor(19.7742, device='cuda:0')","tensor(32.1699, device='cuda:0')","tensor(0.1275, device='cuda:0')",2.4184796810150146
86,17.448548256596432,"tensor(17.4485, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8073, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1257, device='cuda:0', grad_fn=<MeanBackward0>)",22.524513959884644,19.62797260284424,"tensor(19.6280, device='cuda:0')","tensor(32.1021, device='cuda:0')","tensor(0.1262, device='cuda:0')",2.6598339080810547
87,17.45649125304403,"tensor(17.4565, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8093, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1257, device='cuda:0', grad_fn=<MeanBackward0>)",21.985629320144653,19.62296960904048,"tensor(19.6230, device='cuda:0')","tensor(32.1398, device='cuda:0')","tensor(0.1246, device='cuda:0')",2.522077798843384
88,17.4628450236743,"tensor(17.4628, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.8092, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1258, device='cuda:0', grad_fn=<MeanBackward0>)",22.472172260284424,19.552995406664333,"tensor(19.5530, device='cuda:0')","tensor(32.0452, device='cuda:0')","tensor(0.1257, device='cuda:0')",2.4239561557769775
89,17.455072976365873,"tensor(17.4551, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7888, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1258, device='cuda:0', grad_fn=<MeanBackward0>)",22.278323888778687,19.64248361954322,"tensor(19.6425, device='cuda:0')","tensor(32.0757, device='cuda:0')","tensor(0.1269, device='cuda:0')",2.4477813243865967
90,17.386559202701232,"tensor(17.3866, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7231, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1253, device='cuda:0', grad_fn=<MeanBackward0>)",22.830224990844727,19.540981576992916,"tensor(19.5410, device='cuda:0')","tensor(32.0327, device='cuda:0')","tensor(0.1250, device='cuda:0')",2.441631555557251
91,17.380806246890298,"tensor(17.3808, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.7147, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1250, device='cuda:0', grad_fn=<MeanBackward0>)",23.209316968917847,19.547970084043648,"tensor(19.5480, device='cuda:0')","tensor(32.0525, device='cuda:0')","tensor(0.1273, device='cuda:0')",2.451164484024048
92,17.34730209881746,"tensor(17.3473, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6715, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1249, device='cuda:0', grad_fn=<MeanBackward0>)",22.647342205047607,19.528034237714913,"tensor(19.5280, device='cuda:0')","tensor(32.0669, device='cuda:0')","tensor(0.1252, device='cuda:0')",2.6799492835998535
93,17.359424983398824,"tensor(17.3594, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6707, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1250, device='cuda:0', grad_fn=<MeanBackward0>)",22.284448862075806,19.538967169248142,"tensor(19.5390, device='cuda:0')","tensor(32.0746, device='cuda:0')","tensor(0.1248, device='cuda:0')",2.749476671218872
94,17.33280274837832,"tensor(17.3328, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6307, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1248, device='cuda:0', grad_fn=<MeanBackward0>)",22.144437313079834,19.55786945269658,"tensor(19.5579, device='cuda:0')","tensor(32.0739, device='cuda:0')","tensor(0.1245, device='cuda:0')",2.5798370838165283
95,17.341971614692785,"tensor(17.3420, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6424, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1248, device='cuda:0', grad_fn=<MeanBackward0>)",22.814668655395508,19.62650767656473,"tensor(19.6265, device='cuda:0')","tensor(32.1866, device='cuda:0')","tensor(0.1292, device='cuda:0')",2.509399890899658
96,17.302509301825413,"tensor(17.3025, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.6044, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1245, device='cuda:0', grad_fn=<MeanBackward0>)",23.03593945503235,19.673982180081882,"tensor(19.6740, device='cuda:0')","tensor(32.1306, device='cuda:0')","tensor(0.1246, device='cuda:0')",2.4186878204345703
97,17.308398560632632,"tensor(17.3084, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.5996, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1249, device='cuda:0', grad_fn=<MeanBackward0>)",22.903034448623657,19.53991054571592,"tensor(19.5399, device='cuda:0')","tensor(32.1061, device='cuda:0')","tensor(0.1257, device='cuda:0')",2.419923782348633
98,17.293768236908733,"tensor(17.2938, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.5792, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1246, device='cuda:0', grad_fn=<MeanBackward0>)",23.082561254501343,19.55351878129519,"tensor(19.5535, device='cuda:0')","tensor(32.0770, device='cuda:0')","tensor(0.1259, device='cuda:0')",2.461899995803833
99,17.220514937292172,"tensor(17.2205, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.4973, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1241, device='cuda:0', grad_fn=<MeanBackward0>)",22.862372398376465,19.521913106624897,"tensor(19.5219, device='cuda:0')","tensor(32.1250, device='cuda:0')","tensor(0.1252, device='cuda:0')",2.4047744274139404
100,17.25518594210661,"tensor(17.2552, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(28.5319, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1244, device='cuda:0', grad_fn=<MeanBackward0>)",23.054233074188232,19.58511546941904,"tensor(19.5851, device='cuda:0')","tensor(32.0824, device='cuda:0')","tensor(0.1235, device='cuda:0')",2.886976718902588
