epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
37,19.252138994917086,"tensor(19.2521, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(31.5696, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1365, device='cuda:0', grad_fn=<MeanBackward0>)",22.555768728256226,20.979935591037457,"tensor(20.9799, device='cuda:0')","tensor(34.0338, device='cuda:0')","tensor(0.1312, device='cuda:0')",2.7751824855804443
38,19.198520177527318,"tensor(19.1985, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(31.4459, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1364, device='cuda:0', grad_fn=<MeanBackward0>)",22.60664463043213,20.93759123178629,"tensor(20.9376, device='cuda:0')","tensor(33.8289, device='cuda:0')","tensor(0.1371, device='cuda:0')",2.388974905014038
39,19.088604830488375,"tensor(19.0886, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(31.2573, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1364, device='cuda:0', grad_fn=<MeanBackward0>)",22.755356788635254,20.630525653178875,"tensor(20.6305, device='cuda:0')","tensor(33.4654, device='cuda:0')","tensor(0.1334, device='cuda:0')",2.516383409500122
40,18.95930590810655,"tensor(18.9593, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(31.0776, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1352, device='cuda:0', grad_fn=<MeanBackward0>)",22.07857632637024,20.626467145406284,"tensor(20.6265, device='cuda:0')","tensor(33.4175, device='cuda:0')","tensor(0.1307, device='cuda:0')",2.7977054119110107
41,18.932573614241203,"tensor(18.9326, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.9870, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1353, device='cuda:0', grad_fn=<MeanBackward0>)",23.55197501182556,20.665865898132324,"tensor(20.6659, device='cuda:0')","tensor(33.4001, device='cuda:0')","tensor(0.1294, device='cuda:0')",2.3158462047576904
42,18.811351220819013,"tensor(18.8113, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.8202, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1343, device='cuda:0', grad_fn=<MeanBackward0>)",21.74612545967102,20.662867784500122,"tensor(20.6629, device='cuda:0')","tensor(33.3739, device='cuda:0')","tensor(0.1283, device='cuda:0')",2.6113529205322266
43,18.80707471581954,"tensor(18.8071, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.7790, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1347, device='cuda:0', grad_fn=<MeanBackward0>)",22.40439772605896,20.50249918607565,"tensor(20.5025, device='cuda:0')","tensor(33.1251, device='cuda:0')","tensor(0.1344, device='cuda:0')",2.242804765701294
44,18.674929860271984,"tensor(18.6749, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.5939, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1339, device='cuda:0', grad_fn=<MeanBackward0>)",21.95816659927368,20.427972775239212,"tensor(20.4280, device='cuda:0')","tensor(32.9435, device='cuda:0')","tensor(0.1369, device='cuda:0')",2.3754591941833496
45,18.600465955613533,"tensor(18.6005, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.4727, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1332, device='cuda:0', grad_fn=<MeanBackward0>)",22.655930280685425,20.38723791562594,"tensor(20.3872, device='cuda:0')","tensor(33.0403, device='cuda:0')","tensor(0.1294, device='cuda:0')",2.3589091300964355
46,18.565423066103005,"tensor(18.5654, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.4059, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1332, device='cuda:0', grad_fn=<MeanBackward0>)",22.04010844230652,20.276375880608192,"tensor(20.2764, device='cuda:0')","tensor(32.7659, device='cuda:0')","tensor(0.1321, device='cuda:0')",2.7165801525115967
47,18.53689468963237,"tensor(18.5369, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.3561, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1329, device='cuda:0', grad_fn=<MeanBackward0>)",21.45397162437439,20.229559082251328,"tensor(20.2296, device='cuda:0')","tensor(32.7264, device='cuda:0')","tensor(0.1294, device='cuda:0')",2.3226351737976074
48,18.420992851257324,"tensor(18.4210, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.2035, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1318, device='cuda:0', grad_fn=<MeanBackward0>)",22.2517352104187,20.210047024946945,"tensor(20.2100, device='cuda:0')","tensor(32.7223, device='cuda:0')","tensor(0.1288, device='cuda:0')",2.6035053730010986
49,18.393885684918754,"tensor(18.3939, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.1535, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1321, device='cuda:0', grad_fn=<MeanBackward0>)",22.41433811187744,20.14757860623873,"tensor(20.1476, device='cuda:0')","tensor(32.6278, device='cuda:0')","tensor(0.1280, device='cuda:0')",2.3398983478546143
50,18.334478981887237,"tensor(18.3345, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(30.0619, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1317, device='cuda:0', grad_fn=<MeanBackward0>)",21.83029317855835,20.089847665566666,"tensor(20.0898, device='cuda:0')","tensor(32.5234, device='cuda:0')","tensor(0.1288, device='cuda:0')",2.5621838569641113
